sbj,Si
1,-0.1891568419749348
2,-0.8375177119588386
3,-0.9677264035437645
4,-0.4498837545225634
5,-0.06142438541223072
6,0.3269318072388572
7,0.1967231156539313
8,0.1961040568983776
9,0.3250746309721961
10,-0.3664827832881675
11,-0.9716471089956116
12,-4.470979901256555e-4
13,0.4526007346163965
14,0.1928024102020842
15,-0.06658320837517806
16,-0.3263815327894808
17,0.1915642926909769
18,0.5149193160088572
19,0.35241639267584546
20,0.1899134693428337
21,-0.07009120798998225
22,0.1886753518317264
23,0.5770315444828142
24,1.354053459162756
25,1.6775632471695263
26,2.001073035176297
27,1.870864343591368
28,1.7407588284656974
29,1.610653313340027
30,0.8972912740229226
31,0.05444277833569444
32,-0.334842002448724
33,-0.011280626212325728
34,0.3122807500240725
35,-0.0123123908049152
36,-0.5958784443741294
37,-0.49925369027802624
38,-0.4026289361819231
39,-1.115887799039768
40,-1.6346590361943
41,-2.412609539007576
42,-2.413434950681655
43,-2.673026922177435
44,-3.191798159331967
45,-3.710775749405016
46,-3.322419556753928
47,-4.359755678144474
48,-4.619450826099516
49,-4.879145974054559
50,-4.490892957862734
51,-4.102639941670908
52,-3.779181741893769
53,-3.45572354211663
54,-3.6506754618866157
55,-3.845627381656602
56,-4.494091428099765
57,-4.624093766766173
58,-4.754096105432581
59,-5.532252961164382
60,-5.46797402704599
61,-5.403695092927599
62,-5.40452050460167
63,-5.34013839402402
64,-5.27575628344637
65,-5.664937887771522
66,-5.924736212185827
67,-6.313917816510987
68,-6.573922493843803
69,-6.574335199680846
70,-6.833720818258101
71,-6.834443053472921
72,-7.093931848509442
73,-6.964961274435623
74,-7.095169966020549
75,-7.290070297560906
76,-7.484970629101262
77,-6.967024803620802
78,-6.773156236673039
79,-6.579287669725275
80,-6.774291177724891
81,-6.969294685724506
82,-7.229196186598067
83,-7.359146937034847
84,-7.489097687471627
85,-7.2627801240868894
86,-7.036462560702152
87,-6.810144997317414
88,-6.583827433932676
89,-7.232601009753616
90,-7.880961879737519
91,-8.010964218403931
92,-8.140966557070342
93,-7.75302307025629
94,-7.883231761841216
95,-8.142617380418486
96,-8.531798984743645
97,-8.403034763588337
98,-8.273857836596001
99,-8.987116699453853
100,-9.959761180888968
101,-10.4785324180435
102,-11.29961068082706
103,-11.90494696729994
104,-12.55330783728385
105,-13.00759378740147
106,-13.170096710734486
107,-13.3325996340675
108,-13.72178123839264
109,-13.787091937103625
110,-13.85240263581461
111,-13.98240497448102
112,-14.76069939882516
113,-15.66851467169251
114,-15.863311826773606
115,-16.0581089818547
116,-16.70667620475712
117,-16.96606182333439
118,-16.83709124926057
119,-17.35606883933362
120,-17.35648154517066
121,-17.3568942510077
122,-17.74628220825137
123,-18.3517216711835
124,-19.04341665405622
125,-19.303008625552
126,-19.43321731713692
127,-19.82239892146208
128,-19.17506981607077
129,-18.65733034350883
130,-19.17610158066336
131,-19.56528318498851
132,-19.8898763258175
133,-20.47344237938673
134,-19.8261132739954
135,-19.11378299927089
136,-19.56775942001073
137,-20.12993355436024
138,-20.86489386581557
139,-21.25407547014073
140,-21.38428416172566
141,-21.64377295676219
142,-22.16285372329449
143,-22.29295923842016
144,-22.81183365203395
145,-23.26601642569231
146,-23.84968565572079
147,-24.044431222572257
148,-24.23917678942372
149,-24.49897511383803
150,-24.62897745250444
151,-24.24103396569039
152,-24.11185703869805
153,-24.11247609745361
154,-23.8537095376319
155,-24.24289114195705
156,-24.37309983354198
157,-24.89207742361503
158,-25.28139659655253
159,-25.67064698518386
160,-25.800649323850273
161,-25.93065166251668
162,-25.47781018282868
163,-25.93188978002779
164,-26.0618921186942
165,-26.40794596304907
166,-27.00239713307012
167,-27.55372054312088
168,-28.0080064932385
169,-28.00831602261628
170,-28.00862555199406
171,-27.75027169800938
172,-27.49150513818767
173,-27.88068674251283
174,-28.14027871400861
175,-28.40007703842291
176,-28.53028573000784
177,-28.14213589027528
178,-27.88357568337208
179,-28.013578022038487
180,-28.1435803607049
181,-28.66255795077795
182,-28.96541525085636
183,-29.70020360154627
184,-30.39193297657207
185,-30.86764523806248
186,-30.73846831107015
187,-30.7390873698257
188,-31.21452449409143
189,-32.07914322268231
190,-32.4254034199557
191,-32.74989338432543
192,-33.07417699577665
193,-33.269077327317
194,-33.33438802602798
195,-33.39990507765748
196,-33.72439504202721
197,-34.07051767068826
198,-34.56765624355148
199,-35.23771856213286
200,-36.0588656092226
201,-35.80051175523793
202,-36.25438499951851
203,-36.62220907677704
204,-37.09771498534894
205,-37.31431676548679
206,-38.00590857190024
207,-38.62197521013606
208,-38.70348461295071
209,-38.78499401576536
210,-38.59122862527686
211,-39.1963929509843
212,-39.95284835811862
213,-40.47151641881388
214,-40.89340496072416
215,-41.57426641537467
216,-42.28742210177326
217,-42.83890027651291
218,-43.38996574541552
219,-43.54184149344486
220,-44.01741618632293
221,-44.49312844781335
222,-44.75272041930913
223,-44.8828259344348
224,-45.01293144956047
225,-45.27272977397477
226,-45.69441196296653
227,-46.0837999202102
228,-46.37568612345407
229,-46.50610116795752
230,-47.0680689493885
231,-47.73813126796991
232,-48.45139013082775
233,-49.06745676906357
234,-49.42424096518138
235,-49.74883410601037
236,-50.23520793495757
237,-50.65699330040858
238,-51.3486538911282
